Time Step,True pos_x,Predicted pos_x,Error
269,0.86,0.854623,0.0053769946
270,0.88,0.884065,-0.004064977
271,0.9,0.90232056,-0.0023205876
272,0.92,0.92201513,-0.0020151138
273,0.94,0.94103056,-0.0010305643
274,0.95,0.96024835,-0.010248363
275,0.97,0.970202,-0.00020200014
276,0.99,0.9902381,-0.00023806095
277,1.01,1.0103828,-0.00038278103
278,1.03,1.0304588,-0.00045883656
279,1.05,1.0503443,-0.00034439564
280,1.07,1.0702205,-0.00022041798
281,1.08,1.0900534,-0.010053396
282,1.1,1.0998453,0.00015473366
283,1.11,1.118619,-0.008618951
284,1.12,1.1275055,-0.007505536
285,1.14,1.1365396,0.0034604073
286,1.16,1.1556585,0.004341483
287,1.18,1.175141,0.0048589706
288,1.2,1.194972,0.0050280094
289,1.21,1.2149704,-0.004970312
290,1.22,1.225131,-0.0051310062
291,1.23,1.2352728,-0.005272746
292,1.25,1.2453132,0.0046868324
293,1.26,1.2652764,-0.0052764416
294,1.27,1.2751553,-0.005155325
295,1.29,1.2850348,0.004965186
296,1.31,1.3049908,0.0050091743
297,1.32,1.3247886,-0.004788518
298,1.34,1.3346117,0.005388379
299,1.35,1.3544494,-0.0044493675
300,1.36,1.3642722,-0.0042722225
301,1.37,1.3741628,-0.0041627884
302,1.38,1.3840445,-0.004044533
303,1.4,1.3940878,0.0059121847
304,1.43,1.4140645,0.015935421
305,1.44,1.4444616,-0.004461527
306,1.45,1.455405,-0.005404949
307,1.47,1.467386,0.0026140213
308,1.48,1.4852052,-0.0052051544
309,1.5,1.4966772,0.0033228397
310,1.51,1.5172868,-0.007286787
311,1.53,1.5256634,0.0043365955
312,1.55,1.543626,0.0063740015
313,1.56,1.5621827,-0.002182722
314,1.58,1.5716937,0.008306384
315,1.59,1.5914248,-0.0014247894
316,1.6,1.6004645,-0.0004644394
317,1.61,1.6093287,0.0006712675
318,1.62,1.6187618,0.0012382269
319,1.63,1.6285033,0.0014966726
320,1.63,1.6382769,-0.008276939
321,1.65,1.637991,0.012009025
322,1.66,1.6575041,0.002495885
323,1.66,1.6673019,-0.0073019266
324,1.67,1.6661401,0.0038598776
325,1.68,1.6759895,0.004010439
326,1.68,1.6851473,-0.005147338
327,1.69,1.6838439,0.006156206
328,1.69,1.6929029,-0.0029028654
329,1.69,1.6914517,-0.0014516115
330,1.69,1.6898888,0.00011122227
331,1.69,1.6890105,0.0009895563
332,1.69,1.6881796,0.0018204451
333,1.69,1.687807,0.0021930933
334,1.69,1.6877531,0.002246976
335,1.69,1.6878514,0.0021486282
336,1.69,1.6880004,0.0019996166
337,1.69,1.6884506,0.0015494823
338,1.69,1.6879804,0.0020196438
339,1.68,1.6885736,-0.008573651
340,1.68,1.6783794,0.0016205311
341,1.68,1.6783549,0.0016450882
342,1.68,1.6783087,0.0016912222
343,1.68,1.6782646,0.0017353296
344,1.68,1.6782427,0.0017572641
345,1.68,1.6782277,0.0017722845
346,1.68,1.67819,0.0018099546
347,1.67,1.6781825,-0.008182526
348,1.67,1.6681551,0.001844883
349,1.67,1.6682458,0.0017541647
350,1.67,1.6683795,0.0016204119
351,1.67,1.6684945,0.0015054941
352,1.67,1.6685625,0.0014374256
353,1.67,1.6686318,0.001368165
354,1.67,1.6687315,0.001268506
355,1.67,1.668783,0.0012170076
356,1.66,1.6688993,-0.008899331
357,1.66,1.658965,0.001034975
358,1.66,1.6590497,0.00095021725
359,1.66,1.6591289,0.0008710623
360,1.66,1.6592138,0.00078618526
361,1.66,1.6593182,0.0006817579
362,1.66,1.6593672,0.0006327629
363,1.66,1.6594315,0.0005685091
