Time Step,True pos_y,Predicted pos_y,Error
525,0.19,0.18999855,1.4454126e-06
526,0.19,0.19001329,-1.3291836e-05
527,0.19,0.19002932,-2.9325485e-05
528,0.19,0.1900434,-4.3407083e-05
529,0.19,0.19005387,-5.3867698e-05
530,0.19,0.19005635,-5.635619e-05
531,0.19,0.19004764,-4.7639012e-05
532,0.19,0.19002442,-2.4423003e-05
533,0.19,0.18999566,4.336238e-06
534,0.19,0.18996753,3.246963e-05
535,0.19,0.18996142,3.8579106e-05
536,0.19,0.18994722,5.2779913e-05
537,0.19,0.18996033,3.966689e-05
538,0.19,0.18995939,4.0605664e-05
539,0.19,0.18997496,2.503395e-05
540,0.19,0.18999606,3.9339066e-06
541,0.19,0.18994382,5.6177378e-05
542,0.19,0.18993841,6.15865e-05
543,0.19,0.18999355,6.452203e-06
544,0.19,0.19006066,-6.0662627e-05
545,0.19,0.19007692,-7.6919794e-05
546,0.19,0.18998955,1.0445714e-05
547,0.19,0.18997774,2.2262335e-05
548,0.19,0.18996282,3.7178397e-05
549,0.19,0.18992537,7.4625015e-05
550,0.19,0.18986264,0.0001373589
551,0.19,0.1898124,0.00018759072
552,0.19,0.18978852,0.00021147728
553,0.19,0.18984148,0.00015851855
554,0.19,0.18989277,0.000107228756
555,0.19,0.18992816,7.18385e-05
556,0.19,0.1900428,-4.2796135e-05
557,0.19,0.18997172,2.8282404e-05
558,0.19,0.18990493,9.506941e-05
559,0.19,0.18988307,0.00011692941
560,0.19,0.1899417,5.8293343e-05
561,0.19,0.19002408,-2.4080276e-05
562,0.19,0.1900754,-7.5399876e-05
563,0.19,0.19007757,-7.7575445e-05
564,0.19,0.19008945,-8.945167e-05
565,0.19,0.19005866,-5.866587e-05
566,0.19,0.19009344,-9.344518e-05
567,0.19,0.19007209,-7.209182e-05
568,0.19,0.19007638,-7.638335e-05
569,0.19,0.19010575,-0.00010575354
570,0.19,0.19017476,-0.00017476082
571,0.19,0.19021918,-0.00021918118
572,0.19,0.19019368,-0.0001936853
573,0.19,0.19016442,-0.00016441941
574,0.19,0.19014828,-0.00014828146
575,0.19,0.19014093,-0.00014093518
576,0.19,0.19012766,-0.00012765825
577,0.19,0.19009966,-9.9658966e-05
578,0.19,0.19007207,-7.207692e-05
579,0.19,0.1900444,-4.440546e-05
580,0.19,0.19006406,-6.406009e-05
581,0.19,0.19003053,-3.053248e-05
582,0.19,0.19000115,-1.1473894e-06
583,0.19,0.18995288,4.711747e-05
584,0.19,0.18993607,6.392598e-05
585,0.19,0.1900153,-1.5303493e-05
586,0.19,0.19006288,-6.28829e-05
587,0.19,0.19004652,-4.6521425e-05
588,0.19,0.19002761,-2.7611852e-05
589,0.19,0.19002804,-2.8043985e-05
590,0.19,0.19006798,-6.79791e-05
591,0.19,0.19003375,-3.375113e-05
592,0.19,0.1901129,-0.0001129061
593,0.19,0.19011489,-0.00011488795
594,0.19,0.19008811,-8.8110566e-05
595,0.19,0.19006132,-6.131828e-05
596,0.19,0.19008373,-8.3729625e-05
597,0.19,0.1900994,-9.9405646e-05
598,0.19,0.19009964,-9.9644065e-05
599,0.19,0.19006005,-6.005168e-05
600,0.19,0.1900416,-4.1604042e-05
601,0.19,0.19003445,-3.4451485e-05
602,0.19,0.19003223,-3.223121e-05
603,0.19,0.19003579,-3.579259e-05
604,0.19,0.19003853,-3.8534403e-05
605,0.19,0.19003683,-3.683567e-05
606,0.19,0.19003321,-3.321469e-05
607,0.19,0.19002682,-2.682209e-05
608,0.19,0.19002281,-2.2813678e-05
609,0.19,0.19002385,-2.3856759e-05
610,0.19,0.19002618,-2.618134e-05
611,0.19,0.1900355,-3.5509467e-05
612,0.19,0.19003618,-3.618002e-05
613,0.19,0.19003968,-3.9681792e-05
614,0.19,0.19003898,-3.8981438e-05
615,0.19,0.19003177,-3.1769276e-05
616,0.19,0.19004679,-4.6789646e-05
617,0.19,0.19002037,-2.0369887e-05
618,0.19,0.19002339,-2.3394823e-05
619,0.19,0.19002838,-2.8386712e-05
620,0.19,0.19003925,-3.924966e-05
621,0.19,0.19004594,-4.594028e-05
622,0.19,0.1900443,-4.4301152e-05
623,0.19,0.1900407,-4.069507e-05
624,0.19,0.190031,-3.1009316e-05
625,0.19,0.19002493,-2.4929643e-05
626,0.19,0.19002114,-2.1144748e-05
627,0.19,0.19001476,-1.4767051e-05
628,0.19,0.19001426,-1.4260411e-05
629,0.19,0.19001158,-1.1578202e-05
630,0.19,0.1900168,-1.680851e-05
631,0.19,0.19001994,-1.9937754e-05
632,0.19,0.1900318,-3.1799078e-05
633,0.19,0.190034,-3.400445e-05
634,0.19,0.19004774,-4.774332e-05
635,0.19,0.19003873,-3.8728118e-05
636,0.19,0.19005248,-5.248189e-05
637,0.19,0.1900657,-6.569922e-05
638,0.19,0.19008043,-8.043647e-05
639,0.19,0.19012232,-0.00012232363
640,0.19,0.19014311,-0.00014311075
641,0.19,0.19013682,-0.00013682246
642,0.19,0.19014795,-0.00014795363
643,0.19,0.19013324,-0.00013324618
644,0.19,0.19009307,-9.307265e-05
645,0.19,0.18998194,1.8060207e-05
646,0.18,0.18979396,-0.009793952
647,0.18,0.18677813,-0.006778121
648,0.18,0.18403488,-0.004034877
649,0.18,0.17994018,5.9828162e-05
650,0.19,0.18065417,0.0093458295
651,0.18,0.18678518,-0.0067851692
652,0.18,0.18124968,-0.001249671
653,0.18,0.18061712,-0.0006171167
654,0.18,0.1808738,-0.0008737892
655,0.18,0.1847747,-0.0047746897
656,0.18,0.187358,-0.0073579997
657,0.18,0.18622449,-0.0062244833
658,0.18,0.18219659,-0.0021965802
659,0.18,0.18075608,-0.00075607
660,0.18,0.18066822,-0.0006682128
661,0.18,0.18348828,-0.0034882724
662,0.18,0.19111218,-0.011112168
663,0.19,0.1904275,-0.0004274994
664,0.19,0.19119914,-0.0011991411
665,0.19,0.19003129,-3.129244e-05
666,0.19,0.18994115,5.8844686e-05
667,0.19,0.18983069,0.000169307
668,0.19,0.18992019,7.981062e-05
669,0.19,0.18988049,0.00011950731
670,0.19,0.18993446,6.553531e-05
