Time Step,True pos_z,Predicted pos_z,Error
380,0.91512096,0.9274073,-0.012286365
381,0.94654995,0.9583083,-0.0117583275
382,0.97849613,0.98998845,-0.011492312
383,1.0109042,1.021814,-0.010909796
384,1.043602,1.0542127,-0.0106107
385,1.1099875,1.0866859,0.023301601
386,1.1432135,1.1527549,-0.009541392
387,1.1766833,1.1852813,-0.00859797
388,1.2103949,1.218475,-0.008080125
389,1.2437207,1.2515081,-0.007787466
390,1.3101681,1.283903,0.026265144
391,1.3430758,1.3494301,-0.006354332
392,1.3756771,1.3810767,-0.005399585
393,1.4128059,1.412384,0.00042188168
394,1.439104,1.4481082,-0.009004235
395,1.4744655,1.4727321,0.0017334223
396,1.4992988,1.5063751,-0.0070762634
397,1.528681,1.5293761,-0.00069510937
398,1.5617012,1.5568953,0.0048059225
399,1.5845424,1.5879415,-0.0033991337
400,1.6153829,1.6088011,0.0065817833
401,1.6450489,1.6375638,0.007485032
402,1.6649631,1.6653725,-0.0004093647
403,1.684122,1.6855156,-0.0013936758
404,1.7094947,1.742044,-0.032549262
405,1.7459,1.7731994,-0.027299404
406,1.7637312,1.7597663,0.003964901
407,1.7862544,1.7817117,0.0045427084
408,1.8051893,1.805397,-0.00020778179
409,1.8316509,1.822927,0.008723855
410,1.8471128,1.8469404,0.00017237663
411,1.8652222,1.8615261,0.003696084
412,1.8785362,1.8796271,-0.0010908842
413,1.8949763,1.8943548,0.000621438
414,1.9120162,1.9135262,-0.0015100241
415,1.9300208,1.9334071,-0.003386259
416,1.9488317,1.9541997,-0.0053679943
417,1.9683659,1.9755073,-0.0071413517
418,1.988893,1.9974543,-0.008561254
419,2.0107095,2.0201418,-0.009432316
420,2.0333812,2.0436873,-0.01030612
421,2.0570407,2.0681858,-0.011145115
422,2.0813904,2.0934289,-0.012038469
423,2.1069093,2.1193948,-0.012485504
424,2.133501,2.1463494,-0.012848377
425,2.1896088,2.1740844,0.015524387
426,2.218663,2.2310154,-0.012352467
427,2.2488546,2.2606714,-0.01181674
428,2.2793472,2.2914898,-0.012142658
429,2.3105962,2.322301,-0.011704683
430,2.3427105,2.3538604,-0.011149883
431,2.3752246,2.3863566,-0.011132002
432,2.4081938,2.4189186,-0.010724783
433,2.4415061,2.45208,-0.010573864
434,2.4755967,2.4849787,-0.0093820095
